YEAR;WEEK;START_DATE;MID_DATE;END_DATE;AGE;N_DEATH;FLAG
2010;31;2010-08-01;2010-08-04;2010-08-07;80-89;322;d
2010;31;2010-08-01;2010-08-04;2010-08-07;70-79;215;d
2010;31;2010-08-01;2010-08-04;2010-08-07;60-69;150;d
2010;31;2010-08-01;2010-08-04;2010-08-07;50-59;102;d
2010;31;2010-08-01;2010-08-04;2010-08-07;0-49;67;d
2010;32;2010-08-08;2010-08-11;2010-08-14;Total;1040;d
2010;32;2010-08-08;2010-08-11;2010-08-14;90+;149;d
2010;32;2010-08-08;2010-08-11;2010-08-14;80-89;336;d
2010;32;2010-08-08;2010-08-11;2010-08-14;70-79;243;d
2010;32;2010-08-08;2010-08-11;2010-08-14;60-69;145;d
2010;32;2010-08-08;2010-08-11;2010-08-14;50-59;86;d
2010;32;2010-08-08;2010-08-11;2010-08-14;0-49;81;d
2010;33;2010-08-15;2010-08-18;2010-08-21;Total;1037;d
2010;33;2010-08-15;2010-08-18;2010-08-21;90+;163;d
2010;33;2010-08-15;2010-08-18;2010-08-21;80-89;321;d
2010;33;2010-08-15;2010-08-18;2010-08-21;70-79;232;d
2010;33;2010-08-15;2010-08-18;2010-08-21;60-69;146;d
2010;33;2010-08-15;2010-08-18;2010-08-21;50-59;99;d
2010;33;2010-08-15;2010-08-18;2010-08-21;0-49;76;d
2010;34;2010-08-22;2010-08-25;2010-08-28;Total;1040;d
2010;34;2010-08-22;2010-08-25;2010-08-28;90+;153;d
2010;34;2010-08-22;2010-08-25;2010-08-28;80-89;335;d
2010;34;2010-08-22;2010-08-25;2010-08-28;70-79;226;d
2010;34;2010-08-22;2010-08-25;2010-08-28;60-69;155;d
2010;34;2010-08-22;2010-08-25;2010-08-28;50-59;85;d
2010;34;2010-08-22;2010-08-25;2010-08-28;0-49;86;d
2010;35;2010-08-29;2010-09-01;2010-09-04;Total;1062;d
2010;35;2010-08-29;2010-09-01;2010-09-04;90+;163;d
2010;35;2010-08-29;2010-09-01;2010-09-04;80-89;320;d
2010;35;2010-08-29;2010-09-01;2010-09-04;70-79;243;d
2010;35;2010-08-29;2010-09-01;2010-09-04;60-69;170;d
2010;35;2010-08-29;2010-09-01;2010-09-04;50-59;96;d
2010;35;2010-08-29;2010-09-01;2010-09-04;0-49;70;d
2010;36;2010-09-05;2010-09-08;2010-09-11;Total;1054;d
