YEAR;WEEK;START_DATE;MID_DATE;END_DATE;SEX;N_DEATH;FLAG
2017;10;2017-03-05;2017-03-08;2017-03-11;H;655;d
2017;10;2017-03-05;2017-03-08;2017-03-11;F;727;d
2017;11;2017-03-12;2017-03-15;2017-03-18;Total;1356;d
2017;11;2017-03-12;2017-03-15;2017-03-18;H;690;d
2017;11;2017-03-12;2017-03-15;2017-03-18;F;666;d
2017;12;2017-03-19;2017-03-22;2017-03-25;Total;1377;d
2017;12;2017-03-19;2017-03-22;2017-03-25;H;654;d
2017;12;2017-03-19;2017-03-22;2017-03-25;F;723;d
2017;13;2017-03-26;2017-03-29;2017-04-01;Total;1363;d
2017;13;2017-03-26;2017-03-29;2017-04-01;H;653;d
2017;13;2017-03-26;2017-03-29;2017-04-01;F;710;d
2017;14;2017-04-02;2017-04-05;2017-04-08;Total;1337;d
2017;14;2017-04-02;2017-04-05;2017-04-08;H;617;d
2017;14;2017-04-02;2017-04-05;2017-04-08;F;720;d
2017;15;2017-04-09;2017-04-12;2017-04-15;Total;1339;d
2017;15;2017-04-09;2017-04-12;2017-04-15;H;615;d
2017;15;2017-04-09;2017-04-12;2017-04-15;F;724;d
2017;16;2017-04-16;2017-04-19;2017-04-22;Total;1258;d
2017;16;2017-04-16;2017-04-19;2017-04-22;H;651;d
2017;16;2017-04-16;2017-04-19;2017-04-22;F;607;d
2017;17;2017-04-23;2017-04-26;2017-04-29;Total;1240;d
2017;17;2017-04-23;2017-04-26;2017-04-29;H;625;d
2017;17;2017-04-23;2017-04-26;2017-04-29;F;615;d
2017;18;2017-04-30;2017-05-03;2017-05-06;Total;1243;d
2017;18;2017-04-30;2017-05-03;2017-05-06;H;618;d
2017;18;2017-04-30;2017-05-03;2017-05-06;F;625;d
2017;19;2017-05-07;2017-05-10;2017-05-13;Total;1293;d
2017;19;2017-05-07;2017-05-10;2017-05-13;H;675;d
2017;19;2017-05-07;2017-05-10;2017-05-13;F;618;d
2017;20;2017-05-14;2017-05-17;2017-05-20;Total;1249;d
2017;20;2017-05-14;2017-05-17;2017-05-20;H;630;d
2017;20;2017-05-14;2017-05-17;2017-05-20;F;619;d
2017;21;2017-05-21;2017-05-24;2017-05-27;Total;1129;d
2017;21;2017-05-21;2017-05-24;2017-05-27;H;568;d
2017;21;2017-05-21;2017-05-24;2017-05-27;F;561;d
2017;22;2017-05-28;2017-05-31;2017-06-03;Total;1164;d
2017;22;2017-05-28;2017-05-31;2017-06-03;H;572;d
2017;22;2017-05-28;2017-05-31;2017-06-03;F;592;d
2017;23;2017-06-04;2017-06-07;2017-06-10;Total;1177;d
2017;23;2017-06-04;2017-06-07;2017-06-10;H;586;d
2017;23;2017-06-04;2017-06-07;2017-06-10;F;591;d
2017;24;2017-06-11;2017-06-14;2017-06-17;Total;1146;d
2017;24;2017-06-11;2017-06-14;2017-06-17;H;573;d
2017;24;2017-06-11;2017-06-14;2017-06-17;F;573;d
2017;25;2017-06-18;2017-06-21;2017-06-24;Total;1171;d
2017;25;2017-06-18;2017-06-21;2017-06-24;H;567;d
2017;25;2017-06-18;2017-06-21;2017-06-24;F;604;d
2017;26;2017-06-25;2017-06-28;2017-07-01;Total;1155;d
2017;26;2017-06-25;2017-06-28;2017-07-01;H;583;d
2017;26;2017-06-25;2017-06-28;2017-07-01;F;572;d
2017;27;2017-07-02;2017-07-05;2017-07-08;Total;1136;d
2017;27;2017-07-02;2017-07-05;2017-07-08;H;562;d
2017;27;2017-07-02;2017-07-05;2017-07-08;F;574;d
2017;28;2017-07-09;2017-07-12;2017-07-15;Total;1155;d
2017;28;2017-07-09;2017-07-12;2017-07-15;H;577;d
2017;28;2017-07-09;2017-07-12;2017-07-15;F;578;d
2017;29;2017-07-16;2017-07-19;2017-07-22;Total;1083;d
2017;29;2017-07-16;2017-07-19;2017-07-22;H;528;d
2017;29;2017-07-16;2017-07-19;2017-07-22;F;555;d
2017;30;2017-07-23;2017-07-26;2017-07-29;Total;1135;d
2017;30;2017-07-23;2017-07-26;2017-07-29;H;578;d
2017;30;2017-07-23;2017-07-26;2017-07-29;F;557;d
2017;31;2017-07-30;2017-08-02;2017-08-05;Total;1129;d
2017;31;2017-07-30;2017-08-02;2017-08-05;H;593;d
2017;31;2017-07-30;2017-08-02;2017-08-05;F;536;d
2017;32;2017-08-06;2017-08-09;2017-08-12;Total;1116;d
2017;32;2017-08-06;2017-08-09;2017-08-12;H;545;d
2017;32;2017-08-06;2017-08-09;2017-08-12;F;571;d
2017;33;2017-08-13;2017-08-16;2017-08-19;Total;1111;d
2017;33;2017-08-13;2017-08-16;2017-08-19;H;544;d
2017;33;2017-08-13;2017-08-16;2017-08-19;F;567;d
2017;34;2017-08-20;2017-08-23;2017-08-26;Total;1113;d
2017;34;2017-08-20;2017-08-23;2017-08-26;H;531;d
2017;34;2017-08-20;2017-08-23;2017-08-26;F;582;d
2017;35;2017-08-27;2017-08-30;2017-09-02;Total;1117;d
2017;35;2017-08-27;2017-08-30;2017-09-02;H;512;d
2017;35;2017-08-27;2017-08-30;2017-09-02;F;605;d
2017;36;2017-09-03;2017-09-06;2017-09-09;Total;1182;d
2017;36;2017-09-03;2017-09-06;2017-09-09;H;602;d
