YEAR;WEEK;START_DATE;MID_DATE;END_DATE;SEX;N_DEATH;FLAG
2011;40;2011-10-02;2011-10-05;2011-10-08;Total;1107;d
2011;40;2011-10-02;2011-10-05;2011-10-08;Hommes;563;d
2011;40;2011-10-02;2011-10-05;2011-10-08;Femmes;544;d
2011;41;2011-10-09;2011-10-12;2011-10-15;Total;1064;d
2011;41;2011-10-09;2011-10-12;2011-10-15;Hommes;540;d
2011;41;2011-10-09;2011-10-12;2011-10-15;Femmes;524;d
2011;42;2011-10-16;2011-10-19;2011-10-22;Total;1127;d
2011;42;2011-10-16;2011-10-19;2011-10-22;Hommes;590;d
2011;42;2011-10-16;2011-10-19;2011-10-22;Femmes;537;d
2011;43;2011-10-23;2011-10-26;2011-10-29;Total;1092;d
2011;43;2011-10-23;2011-10-26;2011-10-29;Hommes;516;d
2011;43;2011-10-23;2011-10-26;2011-10-29;Femmes;576;d
2011;44;2011-10-30;2011-11-02;2011-11-05;Total;1076;d
2011;44;2011-10-30;2011-11-02;2011-11-05;Hommes;530;d
2011;44;2011-10-30;2011-11-02;2011-11-05;Femmes;546;d
2011;45;2011-11-06;2011-11-09;2011-11-12;Total;1081;d
2011;45;2011-11-06;2011-11-09;2011-11-12;Hommes;540;d
2011;45;2011-11-06;2011-11-09;2011-11-12;Femmes;541;d
2011;46;2011-11-13;2011-11-16;2011-11-19;Total;1092;d
2011;46;2011-11-13;2011-11-16;2011-11-19;Hommes;553;d
2011;46;2011-11-13;2011-11-16;2011-11-19;Femmes;539;d
2011;47;2011-11-20;2011-11-23;2011-11-26;Total;1115;d
2011;47;2011-11-20;2011-11-23;2011-11-26;Hommes;550;d
2011;47;2011-11-20;2011-11-23;2011-11-26;Femmes;565;d
2011;48;2011-11-27;2011-11-30;2011-12-03;Total;1180;d
2011;48;2011-11-27;2011-11-30;2011-12-03;Hommes;581;d
2011;48;2011-11-27;2011-11-30;2011-12-03;Femmes;599;d
2011;49;2011-12-04;2011-12-07;2011-12-10;Total;1188;d
2011;49;2011-12-04;2011-12-07;2011-12-10;Hommes;596;d
2011;49;2011-12-04;2011-12-07;2011-12-10;Femmes;592;d
2011;50;2011-12-11;2011-12-14;2011-12-17;Total;1172;d
